Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,C_C_S68_081120_2,C_S68_081120_2,,B06,,C_C_S68,8/11/20,23,2,9/3/20,Adrian,63.45,200,39.965,40,50,20,,,,,,
,C_C_S68_071420_1,C_S68_071420_1,,B04,,C_C_S68,7/14/20,50,1,9/2/20,Adrian,63.48,200,39.995,40,50,20,,,,,,
,B_B_SQ_070120_4,B_SQ_070120_4,,B07,,B_B_SQ,7/1/20,68,4,9/7/20,Adrian,,400,40,40,50,20,,,,,,
17-Aug,C_C_S68_081820_2,C_S68_081820_2,,B06,,C_C_S68,8/18/20,#VALUE!,2,unsuccessful,,,200,40,40,50,20,,,,,,
,B_B_SQ_070820_4,B_SQ_070820_4,,B07,,B_B_SQ,7/8/20,61,4,9/7/20,Adrian,63.5,200,40.015,40,50,20,1,60.2,3,5.71,5.71,60.2
,C_C_N49_051220_1,C_N49_051220_4,,B09,,C_C_N49,5/12/20,119,1,9/8/20,Adrian,63.5,200,40.015,40,50,20,,,,,,
,C_C_N49_051920_3,C_N49_051920_3,,B11,,C_C_N49,5/19/20,121,3,9/17/20,Adrian,63.5,200,40.015,40,50,20,,,,,,
,C_C_N49_052720_3,C_N49_052720_3,,B11,,C_C_N49,5/27/20,113,3,9/17/20,Adrian,63.5,200,40.015,40,50,20,,,,,,
,C_C_ADA_070720_3,C_ADA_070720_3,,B14,,C_C_ADA,7/7/20,97,3,10/12/20,Adrian,63.5,200,40.015,40,50,20,,,,,,
,control_control_PBS_090920_1,control_PBS_B10_1,,B10,,control_control_PBS,9/9/20,0,1,9/9/20,Adrian,63.54,200,40.055,40,50,20,,,,,,
,C_C_S68_060920_3,C_S68_060920_3,,B06,,C_C_S68,6/9/20,86,3,9/3/20,Adrian,63.55,200,40.065,40,50,20,,,,,,
,C_C_S68_060920_1,C_S68_060920_1,,B04,,C_C_S68,6/9/20,85,1,9/2/20,Adrian,63.55,200,40.065,40,50,20,,,,,,
,C_C_N49_052720_1,C_N49_052720_1,,B18,tried to be B09,C_C_N49,5/27/20,161,1,11/4/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
,C_C_N49_063020_1,C_N49_063020_1,,B09,,C_C_N49,6/30/20,70,1,9/8/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
7-Sep,C_C_N49_090920_4,C_N49_090920_4,,B18,B18,C_C_N49,9/9/20,56,4,11/4/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
,K_K_INF_061920_3,K_K_INF_061920_3,,B17,,K_K_INF,6/19/20,2,3,10/29/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
1-Sep,B_B_SQ_090120_4,B_SQ_090120_4,,B07,,B_B_SQ,9/1/20,6,4,9/7/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
,C_C_N49_042120_3,C_N49_042120_3,,B10,,C_C_N49,4/21/20,141,3,9/9/20,Adrian,63.61,200,40.125,40,50,20,,,,,,
