Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
B12,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.370079,0.03217129,80,80_B12,N,N,N,,,,,,,,,,,,,
H4,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,31.359665,0.0351523,80,80_H4,N,N,N,,,,,,,,,,,,,
E6,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,31.352875,0.03724318,80,80_E6,N,N,N,,,,,,,,,,,,,
A9,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,31.340988,0.04120724,80,80_A9,N,N,N,,,,,,,,,,,,,
E5,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,31.339733,0.04164967,80,80_E5,N,N,N,,,,,,,,,,,,,
E12,FALSE,J_UCV_082020_1,Xeno IPC man,VIC,Unknown,31.3241,0.04757533,80,80_E12,N,N,N,,,,,,,,,,,,,
A7,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,31.309307,0.05395735,80,80_A7,N,N,N,,,,,,,,,,,,,
E4,FALSE,C_N49_080420_3,Xeno IPC man,VIC,Unknown,32.80380004,0.070018813,99,99_E4,N,N,N,,,,,,,,,,,,,
A8,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,31.253492,0.0867588,80,80_A8,N,N,N,,,,,,,,,,,,,
E5,FALSE,C_N49_080420_3,Xeno IPC man,VIC,Unknown,32.74646152,0.096649893,99,99_E5,N,N,N,,,,,,,,,,,,,
D9,FALSE,E_Inf_080420_2,Xeno IPC man,VIC,Unknown,31.237896,0.09907176,80,80_D9,N,N,N,,,,,,,,,,,,,
H5,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,31.170416,0.17592274,80,80_H5,N,N,N,,,,,,,,,,,,,
B11,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.167042,0.18104683,80,80_B11,N,N,N,,,,,,,,,,,,,
C10,FALSE,J_UCV_080620_1,Xeno IPC man,VIC,Unknown,31.133331,0.24119467,80,80_C10,N,N,N,,,,,,,,,,,,,
G5,FALSE,B_SQ_080420_4,N1 IVT man,FAM,Unknown,40.29289,0.29274398,78,78_G5,N,N,N,,,,,,,,,,,,,
C4,FALSE,C_ADA_090920_4,Xeno IPC man,VIC,Unknown,32.52955543,0.327157781,99,99_C4,N,N,N,,,Y,,,,,,,,,,
E11,FALSE,J_UCV_082020_1,Xeno IPC man,VIC,Unknown,31.081722,0.3741868,80,80_E11,N,N,N,,,,,,,,,,,,,
C9,FALSE,B_SQ_090120_4,N1 IVT man,FAM,Unknown,38.99206,0.6798177,78,78_C9,N,N,N,,,,,,,,,,,,,
E10,FALSE,J_UCV_082020_1,Xeno IPC man,VIC,Unknown,31.008486,0.6978036,80,80_E10,N,N,N,,,,,,,,,,,,,
C7,FALSE,B_SQ_090120_4,N1 IVT man,FAM,Unknown,38.835434,0.7524015,78,78_C7,N,N,N,,,,,,,,,,,,,
C12,FALSE,J_UCV_080620_1,Xeno IPC man,VIC,Unknown,30.992958,0.79637164,80,80_C12,N,N,N,,,,,,,,,,,,,
H5,FALSE,B_SQ_081120_4,N1 IVT man,FAM,Unknown,38.577583,0.88915896,78,78_H5,N,N,N,,,,,,,,,,,,,
G6,FALSE,B_SQ_080420_4,N1 IVT man,FAM,Unknown,38.5554,0.90202594,78,78_G6,N,N,N,,,,,,,,,,,,,
F12,FALSE,J_UCV_082720_2,Xeno IPC man,VIC,Unknown,30.975513,0.923809,80,80_F12,N,N,N,,,,,,,,,,,,,
H8,FALSE,10x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,38.22085943,1.015543579,102,102_H8,N,Y,N,,,,,,,,,,,,,
H6,FALSE,B_SQ_081120_4,N1 IVT man,FAM,Unknown,38.370987,1.0164642,78,78_H6,N,N,N,,,,,,,,,,,,,
